date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:34	828/828	---M-Z	200	added ('OK')	text/xml	date:Mon,%2026%20Dec%202022%2014:41:33%20GMT	https://www.sotaimaging.com/xmlrpc.php?rsd	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/xmlrpc0db0.php	(from https://www.sotaimaging.com/)
09:41:34	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Mon,%2026%20Dec%202022%2014:41:34%20GMT	https://www.sotaimaging.com/wp-includes/wlwmanifest.xml	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-includes/wlwmanifest.xml	(from https://www.sotaimaging.com/)
09:41:34	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2026%20Dec%202022%2014:41:35%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/WEBSITE/sota%20imaging%20complete/www.googletagmanager.com/gtm.f5445.delayed	(from https://www.sotaimaging.com/)
09:41:34	183756/183756	---M-Z	200	added ('OK')	application/json	date:Mon,%2026%20Dec%202022%2014:41:33%20GMT	https://www.sotaimaging.com/wp-json/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-json/index.html	(from https://www.sotaimaging.com/)
09:41:35	12481/12481	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Jul%202021%2013:50:12%20GMT	https://www.sotaimaging.com/apple-touch-icon.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/apple-touch-icon.png	(from https://www.sotaimaging.com/)
09:41:35	1598/1598	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Jul%202021%2013:50:12%20GMT	https://www.sotaimaging.com/favicon-32x32.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/favicon-32x32.png	(from https://www.sotaimaging.com/)
09:41:35	33094/33094	---M-Z	200	added ('OK')	application/json	date:Mon,%2026%20Dec%202022%2014:41:33%20GMT	https://www.sotaimaging.com/wp-json/wp/v2/pages/2138/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-json/wp/v2/pages/2138/index.html	(from https://www.sotaimaging.com/)
09:41:35	1042/1042	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Jul%202021%2013:50:12%20GMT	https://www.sotaimaging.com/favicon-16x16.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/favicon-16x16.png	(from https://www.sotaimaging.com/)
09:41:35	291/291	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Jul%202021%2013:50:13%20GMT	https://www.sotaimaging.com/site.webmanifest	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/site.html	(from https://www.sotaimaging.com/)
09:41:36	618/618	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2019%20Jul%202021%2013:50:13%20GMT	https://www.sotaimaging.com/safari-pinned-tab.svg	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/safari-pinned-tab.svg	(from https://www.sotaimaging.com/)
09:41:36	23416/23416	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cae6ce528dce0c327b2bcbaad459fdb%22	https://static.zdassets.com/ekr/snippet.js?key=45547575-e9c6-4904-bd40-e0e023847075	D:/WEBSITE/sota%20imaging%20complete/static.zdassets.com/ekr/snippetd2cb.js	(from https://www.sotaimaging.com/)
09:41:36	2841/2841	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2007:55:37%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/06/header-logo.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/06/header-logo.png	(from https://www.sotaimaging.com/)
09:41:36	9584/9584	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Jul%202021%2021:45:43%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/07/Group-154-510x126.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/07/Group-154-510x126.png	(from https://www.sotaimaging.com/)
09:41:37	3422/3422	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2009:15:11%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/clio-logo-slider.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/clio-logo-slider.png	(from https://www.sotaimaging.com/)
09:41:37	3703/3703	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2008:28:03%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/claris-logo-slider.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/claris-logo-slider.png	(from https://www.sotaimaging.com/)
09:41:37	170677/170677	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:03:45%20GMT	https://www.sotaimaging.com/demo/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/demo/index.html	(from https://www.sotaimaging.com/)
09:41:37	2827/2827	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2008:20:51%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/06/cazoo-logo-slider.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/06/cazoo-logo-slider.png	(from https://www.sotaimaging.com/)
09:41:37	194472/194472	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:03:52%20GMT	https://www.sotaimaging.com/claris-i5hd-intraoral-camera/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/claris-i5hd-intraoral-camera/index.html	(from https://www.sotaimaging.com/)
09:41:38	39078/39078	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2009:18:08%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/clio-featured-image2.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/clio-featured-image2.png	(from https://www.sotaimaging.com/)
09:41:38	21969/21969	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2005:39:35%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/prod_claris.jpg	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/prod_claris.jpg	(from https://www.sotaimaging.com/)
09:41:39	193502/193502	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:04:00%20GMT	https://www.sotaimaging.com/clio-digital-x-ray-sensor/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/clio-digital-x-ray-sensor/index.html	(from https://www.sotaimaging.com/)
09:41:39	9043/9043	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jul%202021%2009:20:04%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/quality-dental-imaging1.jpg	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/quality-dental-imaging1.jpg	(from https://www.sotaimaging.com/)
09:41:39	209521/209521	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:03:57%20GMT	https://www.sotaimaging.com/clio-prime-digital-x-ray-sensor/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/clio-prime-digital-x-ray-sensor/index.html	(from https://www.sotaimaging.com/)
09:41:39	250061/250061	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Jul%202021%2022:28:18%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/07/featured-sota-cloud.jpg	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/07/featured-sota-cloud.jpg	(from https://www.sotaimaging.com/)
09:41:39	205978/205978	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:02:53%20GMT	https://www.sotaimaging.com/sota-cloud/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/sota-cloud/index.html	(from https://www.sotaimaging.com/)
09:41:39	195281/195281	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:03:58%20GMT	https://www.sotaimaging.com/sota-image/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/sota-image/index.html	(from https://www.sotaimaging.com/)
09:41:39	21998/21998	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jul%202021%2009:19:33%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/dental-software-integration2.jpg	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/dental-software-integration2.jpg	(from https://www.sotaimaging.com/)
